Plane Type,Arrival Time
Blue,0
Blue,1.5
Blue,2.25
Blue,9.489392422
Blue,15.00331069
Blue,15.75331069
Blue,16.50331069
Blue,19.68036089
Blue,24.71741707
Blue,30.22600735
Blue,33.46589332
Blue,38.20477346
Blue,42.33729972
Blue,43.08729972
Blue,43.83729972
Blue,44.58729972
Blue,47.11686151
Blue,49.41137023
Blue,50.16137023
Blue,53.22784666
